SN,TITLE,CONTENT_lick,DATE
193559.0,테스트 의견제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193559,2022-11-14 17:07:58.0
193558.0,건물 및 아파트에 특허받은 생명지킴이 비상계단 대피구조물 설치!!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193558,2022-11-14 14:33:52.0
193557.0,서울 4대문 안에서 절대 집회금지 필요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193557,2022-11-14 11:09:19.0
193556.0,서울시 마포구 쓰레기 소각장 활용.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193556,2022-11-14 10:31:49.0
193553.0,텀블러를 가져가면 소비자 판매자 모두에게 이득주기.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193553,2022-11-14 04:39:35.0
193552.0,스마트폰 기본 앱에  스마트영수증을 추가해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193552,2022-11-13 22:06:09.0
193551.0,다문화직업교육 및 취업연계사업 제안서,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193551,2022-11-13 10:47:50.0
193550.0,서울항 반대,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193550,2022-11-12 20:09:17.0
193549.0,옐로카펫 정책 발전과 전망,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193549,2022-11-12 12:18:20.0
193548.0,무라벨 페트병 생산량 늘리기,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193548,2022-11-11 21:15:12.0
193546.0,전장연 지하철 통행방해에 대한 민원 요청드립니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193546,2022-11-11 11:07:24.0
193545.0,스티로폼 재활용율을 높이기 위한 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193545,2022-11-11 10:54:05.0
193544.0,9호선 김포공항역 시니어 안내도우미를 제안합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193544,2022-11-11 09:28:42.0
193543.0,정책제안 합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193543,2022-11-10 17:47:50.0
193542.0,권력 이동,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193542,2022-11-10 17:21:15.0
193541.0,시니어자원재생활동가와 함께하는 고품질종이 재활용 활성화,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193541,2022-11-10 17:05:46.0
193539.0,서울시 신혼부부 임차보증금 연장,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193539,2022-11-10 15:52:04.0
193538.0,sssss,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193538,2022-11-10 15:51:58.0
193537.0,교통카드 이용상 착오환불문제,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193537,2022-11-10 15:26:05.0
193536.0,메타버스 관련 제안 드립니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193536,2022-11-10 14:10:19.0
193535.0,계면활성제 함량이 35%이하인 샴푸 사용을 의무화 해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193535,2022-11-10 12:32:52.0
193532.0,test,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193532,2022-11-10 10:09:15.0
193530.0,메타버스 관련 제안 드립니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193530,2022-11-10 09:15:36.0
193529.0,서울시 버스 경로 변경사항을 TOPIS에서 열람할 수 있게 해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193529,2022-11-10 02:27:54.0
193528.0,은행나무 암그루 수목변경및 열매털기 일자리 마련,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193528,2022-11-10 02:21:07.0
193527.0,"동주민센터, 구청 등 문서파쇄기 설치확대요청",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193527,2022-11-10 01:53:00.0
193526.0,일회용 컵 사용량을 줄일 수 있도록 도와주세요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193526,2022-11-09 23:15:48.0
193525.0,전철 대기 줄을 비스듬한 Y 자 형태의 대기선 표시 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193525,2022-11-09 23:13:37.0
193511.0,전화가 입니다.제그림 티로만들면 어떨까요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193511,2022-11-09 16:11:24.0
193509.0,플라스틱 대체품 생산에 적극 응원합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193509,2022-11-09 14:41:59.0
193508.0,우리나라 국기를 다양하게그려두자.우리나라 국민들은 애국심이 남다르게 강한 민족이고  지킨려고한다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193508,2022-11-09 14:21:57.0
193507.0,이태원 참사 추모 방식,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193507,2022-11-09 13:09:53.0
193506.0,"오르막, 내리막 다른 표시",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193506,2022-11-09 13:06:54.0
193505.0,안전한 계단 표시,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193505,2022-11-09 10:13:46.0
193504.0,북악산로 차없는 거리,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193504,2022-11-09 10:03:56.0
193502.0,오세훈시장님 내년에 교통약자에게는 빗좋은 개살구가 될 공ㄱ？ㄱ을 해결해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193502,2022-11-09 06:21:35.0
193501.0,카페에서 일회용 플라스틱컵을 사용하면 추가요금을 받게 해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193501,2022-11-08 22:54:27.0
