,store,sido,gungu,store_address
917,초계점,경상남도,합천군,경상남도 합천군 초계면 초계2길 12-7
918,초원점,충청남도,아산시,충청남도 아산시 고불로 669
919,초월점,경기도,광주시,경기도 광주시 초월읍 경충대로 1043
920,초지1점,경기도,안산시단원구,"경기도 안산시단원구 초지2로 67-7, 한양타워 114호"
921,총신대점,서울특별시,동작구,서울특별시 동작구 사당로 168
922,추풍령점,충청북도,영동군,충청북도 영동군 추풍령면 신안로 52-1
923,축산점,경상북도,영덕군,경상북도 영덕군 축산면 축산리 86-18
924,춘천명동점,강원도,춘천시,강원도 춘천시 금강로 76(조양동)
925,춘천터미널점,강원도,춘천시,강원도 춘천시 공지로 458(근화동)
926,춘천팔호광장점,강원도,춘천시,강원도 춘천시 효자로 154(효자동)
927,충남덕산점,충청남도,예산군,충청남도 예산군 덕산면 봉운로 55
928,충청지사, ,,
929,충효점,경상북도,경주시,경상북도 경주시 충효중앙길 65(충효동)
930,칠곡2점,대구광역시,북구,대구광역시 북구 태암로18길 27
931,칠금점,충청북도,충주시,"충청북도 충주시 금릉로 45, 109(칠금동, 현대아파트상가동)"
932,칠보점,경기도,수원시권선구,경기도 수원시권선구 매실로 57 1층 108호(호매실동)
933,칠성점,대구광역시,북구,대구광역시 북구 칠성로15길 8
934,침산점,대구광역시,북구,대구광역시 북구 침산남로7길 50-10
935,탄방점,대전광역시,서구,대전광역시 서구 탄방로 25
936,탄현점,경기도,고양시일산서구,경기도 고양시일산서구 탄현로 74
937,태백점,강원도,태백시,강원도 태백시 먹거리길 66
938,태백주공점,강원도,태백시,강원도 태백시 감천로 28(황지동)
939,태안점,충청남도,태안군,충청남도 태안군 태안읍 시장2길 42
940,태장점,강원도,원주시,강원도 원주시 북원로 2696(태장동)
941,태전동점,경기도,광주시,경기도 광주시 태봉로 31-3 105호(태전동)
942,태평2점,대전광역시,중구,대전광역시 중구 동서대로 1238
943,태평상가점,인천광역시,계양구,인천광역시 계양구 용종로 14
944,태평점,경기도,성남시수정구,"경기도 성남시수정구 남문로102번길 1(태평동, 1층)"
945,테스트,16,테스트,16  테스트 테스트
