,store,si,do,address
1344,서귀포혁신도시,제주,서귀포시,제주 서귀포시 강정동 166-10
1345,성산일출봉,제주,서귀포시,제주 서귀포시 성산읍 성산리 362-1
1346,영어교육도시,제주,서귀포시,제주 서귀포시 대정읍 보성리 2476
1347,중문,제주,서귀포시,제주 서귀포시 중문동 1965-9
1348,표선,제주,서귀포시,제주 서귀포시 표선리 633-3
1349,건입,제주,제주시,제주 제주시 일도2동 160-9
1350,노형,제주,제주시,제주 제주시 노형동 1055-1
1351,도두해안도로,제주,제주시,제주 제주시 도두1동 2625-4
1352,삼양화북,제주,제주시,제주 제주시 화북1동 1023-2
1353,세화,제주,제주시,제주 제주시 구좌읍 평대리 3349-8
1354,시청(제주),제주,제주시,제주 제주시 이도이동 1179-18
1355,아라,제주,제주시,제주 제주시 아라일동 6080
1356,아라이도,제주,제주시,제주 제주시 이도2동 1970-24
1357,애월해안도로,제주,제주시,제주 제주시 애월읍 고내리 1145-1
1358,외도하귀,제주,제주시,제주 제주시 하귀1리 162-4
1359,용담삼도,제주,제주시,제주 제주시 용담이동 628-24
1360,일도,제주,제주시,제주 제주시 일도이동 377-22
1361,제주1호,제주,제주시,제주 제주시  연동 272-30
1362,탑동(제주),제주,제주시,제주 제주시 삼도이동 1192-22
1363,한라대,제주,제주시,제주 제주시 노형동 716
1364,한림협재,제주,제주시,제주 제주시 한림읍 한림리 1582-8
1365,함덕,제주,제주시,제주 제주시 조천읍 함덕리 1004-41
